ward_code,ward_name,local_authority,POP2011
E05000001,Aldersgate,City of London,1472
E05000005,Bishopsgate,City of London,226
E05000015,Cripplegate,City of London,2786
E05000017,Farringdon Within,City of London,278
E05000018,Farringdon Without,City of London,1112
E05000021,Portsoken,City of London,987
E05000022,Queenhithe,City of London,323
E05000023,Tower,City of London,228
E05000026,Abbey,Barking and Dagenham,13002
E05000027,Alibon,Barking and Dagenham,10462
E05000028,Becontree,Barking and Dagenham,11598
E05000029,Chadwell Heath,Barking and Dagenham,10041
E05000030,Eastbrook,Barking and Dagenham,10518
E05000031,Eastbury,Barking and Dagenham,11695
E05000032,Gascoigne,Barking and Dagenham,12590
E05000033,Goresbrook,Barking and Dagenham,11332
E05000034,Heath,Barking and Dagenham,10820
E05000035,Longbridge,Barking and Dagenham,11567
E05000036,Mayesbrook,Barking and Dagenham,10385
E05000037,Parsloes,Barking and Dagenham,9886
E05000038,River,Barking and Dagenham,10975
E05000039,Thames,Barking and Dagenham,10805
E05000040,Valence,Barking and Dagenham,9891
E05000041,Village,Barking and Dagenham,10848
E05000042,Whalebone,Barking and Dagenham,10614
E05000043,Brunswick Park,Barnet,16395
E05000044,Burnt Oak,Barnet,18270
E05000045,Childs Hill,Barnet,20162
E05000046,Colindale,Barnet,17215
E05000047,Coppetts,Barnet,17325
E05000048,East Barnet,Barnet,16164
E05000049,East Finchley,Barnet,16053
E05000050,Edgware,Barnet,16775
E05000051,Finchley Church End,Barnet,15770
E05000052,Garden Suburb,Barnet,15978
E05000053,Golders Green,Barnet,18914
E05000054,Hale,Barnet,17497
E05000055,Hendon,Barnet,18601
E05000056,High Barnet,Barnet,15323
E05000057,Mill Hill,Barnet,18483
E05000058,Oakleigh,Barnet,15824
E05000059,Totteridge,Barnet,15181
E05000060,Underhill,Barnet,15908
E05000061,West Finchley,Barnet,16576
E05000062,West Hendon,Barnet,17499
E05000063,Woodhouse,Barnet,17625
E05000064,Barnehurst,Bexley,10442
E05000065,Belvedere,Bexley,11994
E05000066,Blackfen and Lamorbey,Bexley,10630
E05000067,Blendon and Penhill,Bexley,10924
E05000068,Brampton,Bexley,10547
E05000069,Christchurch,Bexley,10985
E05000070,Colyers,Bexley,11195
E05000071,Crayford,Bexley,11274
E05000072,Cray Meadows,Bexley,11243
E05000073,Danson Park,Bexley,10892
E05000074,East Wickham,Bexley,10891
E05000075,Erith,Bexley,12154
E05000076,Falconwood and Welling,Bexley,10823
E05000077,Lesnes Abbey,Bexley,11383
E05000078,Longlands,Bexley,10429
E05000079,North End,Bexley,11655
E05000080,Northumberland Heath,Bexley,10599
E05000081,St Mary's,Bexley,10488
E05000082,St Michael's,Bexley,11156
E05000083,Sidcup,Bexley,10845
E05000084,Thamesmead East,Bexley,12225
E05000085,Alperton,Brent,14085
E05000086,Barnhill,Brent,15806
E05000087,Brondesbury Park,Brent,13071
E05000088,Dollis Hill,Brent,13442
E05000089,Dudden Hill,Brent,15145
E05000090,Fryent,Brent,13497
E05000091,Harlesden,Brent,17180
E05000092,Kensal Green,Brent,14975
E05000093,Kenton,Brent,12113
E05000094,Kilburn,Brent,17065
E05000095,Mapesbury,Brent,15637
E05000096,Northwick Park,Brent,12834
E05000097,Preston,Brent,15529
E05000098,Queens Park,Brent,15338
E05000099,Queensbury,Brent,15182
