ward_code,ward_name,local_authority,POP2015
E05000026,Abbey,Barking and Dagenham,14370
E05000027,Alibon,Barking and Dagenham,10845
E05000028,Becontree,Barking and Dagenham,13856
E05000029,Chadwell Heath,Barking and Dagenham,10850
E05000030,Eastbrook,Barking and Dagenham,11348
E05000031,Eastbury,Barking and Dagenham,12536
E05000032,Gascoigne,Barking and Dagenham,12738
E05000033,Goresbrook,Barking and Dagenham,12065
E05000034,Heath,Barking and Dagenham,11629
E05000035,Longbridge,Barking and Dagenham,12381
E05000036,Mayesbrook,Barking and Dagenham,10813
E05000037,Parsloes,Barking and Dagenham,10811
E05000038,River,Barking and Dagenham,11636
E05000039,Thames,Barking and Dagenham,13943
E05000040,Valence,Barking and Dagenham,10617
E05000041,Village,Barking and Dagenham,11253
E05000042,Whalebone,Barking and Dagenham,11410
E05000043,Brunswick Park,Barnet,16642
E05000044,Burnt Oak,Barnet,19377
E05000045,Childs Hill,Barnet,21323
E05000046,Colindale,Barnet,21777
E05000047,Coppetts,Barnet,18640
E05000048,East Barnet,Barnet,16863
E05000049,East Finchley,Barnet,17045
E05000050,Edgware,Barnet,17490
E05000051,Finchley Church End,Barnet,16447
E05000052,Garden Suburb,Barnet,16331
E05000053,Golders Green,Barnet,20255
E05000054,Hale,Barnet,18393
E05000055,Hendon,Barnet,19158
E05000056,High Barnet,Barnet,16264
E05000057,Mill Hill,Barnet,19234
E05000058,Oakleigh,Barnet,16434
E05000059,Totteridge,Barnet,15477
E05000060,Underhill,Barnet,16713
E05000061,West Finchley,Barnet,17658
E05000062,West Hendon,Barnet,18500
E05000063,Woodhouse,Barnet,18757
E05000064,Barnehurst,Bexley,10760
E05000065,Belvedere,Bexley,13112
E05000066,Blackfen and Lamorbey,Bexley,10764
E05000067,Blendon and Penhill,Bexley,11166
E05000068,Brampton,Bexley,10925
E05000069,Christchurch,Bexley,11510
E05000070,Colyers,Bexley,10496
E05000071,Crayford,Bexley,12808
E05000072,Cray Meadows,Bexley,11600
E05000073,Danson Park,Bexley,11376
E05000074,East Wickham,Bexley,11379
E05000075,Erith,Bexley,12671
E05000076,Falconwood and Welling,Bexley,11283
E05000077,Lesnes Abbey,Bexley,11782
E05000078,Longlands,Bexley,10623
E05000079,North End,Bexley,12437
E05000080,Northumberland Heath,Bexley,10968
E05000081,St Mary's,Bexley,10851
E05000082,St Michael's,Bexley,11423
E05000083,Sidcup,Bexley,11244
E05000084,Thamesmead East,Bexley,13209
E05000085,Alperton,Brent,15702
E05000086,Barnhill,Brent,16359
E05000087,Brondesbury Park,Brent,13099
E05000088,Dollis Hill,Brent,13440
E05000089,Dudden Hill,Brent,15804
E05000090,Fryent,Brent,13638
E05000091,Harlesden,Brent,17607
E05000092,Kensal Green,Brent,15394
E05000093,Kenton,Brent,11944
E05000094,Kilburn,Brent,16807
E05000095,Mapesbury,Brent,16377
E05000096,Northwick Park,Brent,13552
E05000097,Preston,Brent,16053
E05000098,Queens Park,Brent,15079
E05000099,Queensbury,Brent,15330
E05000100,Stonebridge,Brent,17522
E05000101,Sudbury,Brent,15483
E05000102,Tokyngton,Brent,16335
E05000103,Welsh Harp,Brent,14392
E05000104,Wembley Central,Brent,16792
E05000105,Willesden Green,Brent,16734
E05000106,Bickley,Bromley,15364
E05000107,Biggin Hill,Bromley,9974
E05000108,Bromley Common and Keston,Bromley,16535
E05000109,Bromley Town,Bromley,18562
E05000110,Chelsfield and Pratts Bottom,Bromley,14907
E05000111,Chislehurst,Bromley,15888
E05000112,Clock House,Bromley,16266
E05000113,Copers Cope,Bromley,16839
E05000114,Cray Valley East,Bromley,16594
E05000115,Cray Valley West,Bromley,17520
E05000116,Crystal Palace,Bromley,13488
E05000117,Darwin,Bromley,5256
E05000118,Farnborough and Crofton,Bromley,14992
E05000119,Hayes and Coney Hall,Bromley,16237
E05000120,Kelsey and Eden Park,Bromley,16501
E05000121,Mottingham and Chislehurst North,Bromley,10820
E05000122,Orpington,Bromley,15994
E05000123,Penge and Cator,Bromley,18593
E05000124,Petts Wood and Knoll,Bromley,13762
E05000125,Plaistow and Sundridge,Bromley,15693
E05000126,Shortlands,Bromley,10288
E05000127,West Wickham,Bromley,15230
E05000128,Belsize,Camden,14392
E05000129,Bloomsbury,Camden,11693
E05000130,Camden Town with Primrose Hill,Camden,13405
E05000131,Cantelowes,Camden,13356
E05000132,Fortune Green,Camden,13005
E05000133,Frognal and Fitzjohns,Camden,13636
E05000134,Gospel Oak,Camden,12673
E05000135,Hampstead Town,Camden,12538
E05000136,Haverstock,Camden,14000
E05000137,Highgate,Camden,12041
E05000138,Holborn and Covent Garden,Camden,14442
E05000139,Kentish Town,Camden,14847
E05000140,Kilburn,Camden,13473
E05000141,King's Cross,Camden,12235
E05000142,Regent's Park,Camden,14160
E05000143,St Pancras and Somers Town,Camden,16118
E05000144,Swiss Cottage,Camden,14375
E05000145,West Hampstead,Camden,13448
E05000146,Addiscombe,Croydon,17142
E05000147,Ashburton,Croydon,15025
E05000148,Bensham Manor,Croydon,16620
E05000149,Broad Green,Croydon,20624
E05000150,Coulsdon East,Croydon,12656
E05000151,Coulsdon West,Croydon,13682
E05000152,Croham,Croydon,16554
E05000153,Fairfield,Croydon,18344
E05000154,Fieldway,Croydon,11652
E05000155,Heathfield,Croydon,13433
E05000156,Kenley,Croydon,15617
E05000157,New Addington,Croydon,11118
E05000158,Norbury,Croydon,17410
E05000159,Purley,Croydon,15144
E05000160,Sanderstead,Croydon,13133
E05000161,Selhurst,Croydon,19176
E05000162,Selsdon and Ballards,Croydon,11869
E05000163,Shirley,Croydon,14512
E05000164,South Norwood,Croydon,17807
E05000165,Thornton Heath,Croydon,17298
E05000166,Upper Norwood,Croydon,17015
E05000167,Waddon,Croydon,18398
E05000168,West Thornton,Croydon,18271
E05000169,Woodside,Croydon,17570
E05000170,Acton Central,Ealing,16084
E05000171,Cleveland,Ealing,14214
E05000172,Dormers Wells,Ealing,14006
E05000173,Ealing Broadway,Ealing,14326
E05000174,Ealing Common,Ealing,13633
E05000175,East Acton,Ealing,20803
E05000176,Elthorne,Ealing,14646
E05000177,Greenford Broadway,Ealing,17961
E05000178,Greenford Green,Ealing,14656
E05000179,Hanger Hill,Ealing,15932
E05000180,Hobbayne,Ealing,13923
E05000181,Lady Margaret,Ealing,13449
E05000182,Northfield,Ealing,13225
E05000183,North Greenford,Ealing,14796
E05000184,Northolt Mandeville,Ealing,15290
E05000185,Northolt West End,Ealing,15603
E05000186,Norwood Green,Ealing,13847
E05000187,Perivale,Ealing,15884
E05000188,South Acton,Ealing,14944
E05000189,Southall Broadway,Ealing,14288
E05000190,Southall Green,Ealing,16070
E05000191,Southfield,Ealing,13622
E05000192,Walpole,Ealing,13083
E05000193,Bowes,Enfield,15317
E05000194,Bush Hill Park,Enfield,14616
E05000195,Chase,Enfield,13980
E05000196,Cockfosters,Enfield,13991
E05000197,Edmonton Green,Enfield,19454
E05000198,Enfield Highway,Enfield,16753
E05000199,Enfield Lock,Enfield,17961
E05000200,Grange,Enfield,13240
E05000201,Haselbury,Enfield,17288
E05000202,Highlands,Enfield,13472
E05000203,Jubilee,Enfield,15078
E05000204,Lower Edmonton,Enfield,17681
E05000205,Palmers Green,Enfield,15794
E05000206,Ponders End,Enfield,15690
E05000207,Southbury,Enfield,15278
E05000208,Southgate,Enfield,15456
E05000209,Southgate Green,Enfield,14121
E05000210,Town,Enfield,15112
E05000211,Turkey Street,Enfield,15119
E05000212,Upper Edmonton,Enfield,19317
E05000213,Winchmore Hill,Enfield,14020
E05000214,Abbey Wood,Greenwich,16935
E05000215,Blackheath Westcombe,Greenwich,13160
E05000216,Charlton,Greenwich,15191
E05000217,Coldharbour and New Eltham,Greenwich,13524
E05000218,Eltham North,Greenwich,13049
E05000219,Eltham South,Greenwich,12846
E05000220,Eltham West,Greenwich,11481
E05000221,Glyndon,Greenwich,19842
E05000222,Greenwich West,Greenwich,19531
E05000223,Kidbrooke with Hornfair,Greenwich,14274
E05000224,Middle Park and Sutcliffe,Greenwich,14340
E05000225,Peninsula,Greenwich,16001
E05000226,Plumstead,Greenwich,18100
E05000227,Shooters Hill,Greenwich,14006
E05000228,Thamesmead Moorings,Greenwich,22737
E05000229,Woolwich Common,Greenwich,17971
E05000230,Woolwich Riverside,Greenwich,21554
E05000250,Addison,Hammersmith and Fulham,11405
E05000251,Askew,Hammersmith and Fulham,14206
E05000252,Avonmore and Brook Green,Hammersmith and Fulham,12013
E05000253,College Park and Old Oak,Hammersmith and Fulham,9566
E05000254,Fulham Broadway,Hammersmith and Fulham,10868
E05000255,Fulham Reach,Hammersmith and Fulham,11134
E05000256,Hammersmith Broadway,Hammersmith and Fulham,11557
E05000257,Munster,Hammersmith and Fulham,10851
E05000258,North End,Hammersmith and Fulham,11562
E05000259,Palace Riverside,Hammersmith and Fulham,7486
E05000260,Parsons Green and Walham,Hammersmith and Fulham,11056
E05000261,Ravenscourt Park,Hammersmith and Fulham,10445
E05000262,Sands End,Hammersmith and Fulham,13760
E05000263,Shepherd's Bush Green,Hammersmith and Fulham,11993
E05000264,Town,Hammersmith and Fulham,10970
E05000265,Wormholt and White City,Hammersmith and Fulham,13311
E05000266,Alexandra,Haringey,11766
E05000267,Bounds Green,Haringey,14737
E05000268,Bruce Grove,Haringey,15184
E05000269,Crouch End,Haringey,12631
E05000270,Fortis Green,Haringey,12530
E05000271,Harringay,Haringey,14149
E05000272,Highgate,Haringey,10825
E05000273,Hornsey,Haringey,13062
E05000274,Muswell Hill,Haringey,10809
E05000275,Noel Park,Haringey,15029
E05000276,Northumberland Park,Haringey,15654
E05000277,St Ann's,Haringey,15797
E05000278,Seven Sisters,Haringey,17453
E05000279,Stroud Green,Haringey,11954
E05000280,Tottenham Green,Haringey,15524
E05000281,Tottenham Hale,Haringey,18157
E05000282,West Green,Haringey,13530
E05000283,White Hart Lane,Haringey,13694
E05000284,Woodside,Haringey,15766
E05000285,Belmont,Harrow,11427
E05000286,Canons,Harrow,13232
E05000287,Edgware,Harrow,12424
E05000288,Greenhill,Harrow,13074
E05000289,Harrow on the Hill,Harrow,12741
E05000290,Harrow Weald,Harrow,11711
E05000291,Hatch End,Harrow,10825
E05000292,Headstone North,Harrow,10229
E05000293,Headstone South,Harrow,11569
E05000294,Kenton East,Harrow,11503
E05000295,Kenton West,Harrow,11176
E05000296,Marlborough,Harrow,12986
E05000297,Pinner,Harrow,10416
E05000298,Pinner South,Harrow,10525
E05000299,Queensbury,Harrow,12427
E05000300,Rayners Lane,Harrow,11160
E05000301,Roxbourne,Harrow,13413
E05000302,Roxeth,Harrow,11750
E05000303,Stanmore Park,Harrow,11996
E05000304,Wealdstone,Harrow,11543
E05000305,West Harrow,Harrow,10691
