ward_code,ward_name,local_authority,POP2011,,,,
E05000124,Petts Wood and Knoll,Bromley,"13,654",,,,
E05000125,Plaistow and Sundridge,Bromley,"15,171",,,,
E05000126,Shortlands,Bromley,"9,834",,,,
E05000127,West Wickham,Bromley,"14,889",,,,
E05000128,Belsize,Camden,"12,689",,,,
E05000129,Bloomsbury,Camden,"10,911",,,,
E05000130,Camden Town with Primrose Hill,Camden,"12,616",,,,
E05000131,Cantelowes,Camden,"11,944",,,,
E05000132,Fortune Green,Camden,"11,758",,,,
E05000133,Frognal and Fitzjohns,Camden,"11,973",,,,
E05000134,Gospel Oak,Camden,"11,222",,,,
E05000135,Hampstead Town,Camden,"11,217",,,,
E05000136,Haverstock,Camden,"12,326",,,,
E05000137,Highgate,Camden,"10,909",,,,
E05000138,Holborn and Covent Garden,Camden,"12,993",,,,
E05000139,Kentish Town,Camden,"13,410",,,,
E05000140,Kilburn,Camden,"12,015",,,,
E05000141,King's Cross,Camden,"11,854",,,,
E05000142,Regent's Park,Camden,"13,530",,,,
E05000143,St Pancras and Somers Town,Camden,"13,794",,,,
E05000144,Swiss Cottage,Camden,"12,869",,,,
E05000145,West Hampstead,Camden,"12,057",,,,
E05000146,Addiscombe,Croydon,"17,001",,,,
E05000147,Ashburton,Croydon,"14,765",,,,
E05000148,Bensham Manor,Croydon,"16,300",,,,
E05000149,Broad Green,Croydon,"18,805",,,,
E05000150,Coulsdon East,Croydon,"12,242",,,,
E05000151,Coulsdon West,Croydon,"13,455",,,,
E05000152,Croham,Croydon,"15,889",,,,
E05000153,Fairfield,Croydon,"16,728",,,,
E05000154,Fieldway,Croydon,"11,516",,,,
E05000155,Heathfield,Croydon,"13,233",,,,
E05000156,Kenley,Croydon,"15,003",,,,
E05000157,New Addington,Croydon,"10,809",,,,
E05000158,Norbury,Croydon,"16,557",,,,
E05000159,Purley,Croydon,"14,653",,,,
E05000160,Sanderstead,Croydon,"12,783",,,,
E05000161,Selhurst,Croydon,"18,174",,,,
E05000162,Selsdon and Ballards,Croydon,"11,726",,,,
E05000163,Shirley,Croydon,"14,301",,,,
E05000164,South Norwood,Croydon,"16,568",,,,
E05000165,Thornton Heath,Croydon,"16,605",,,,
E05000166,Upper Norwood,Croydon,"16,168",,,,
E05000167,Waddon,Croydon,"17,146",,,,
E05000168,West Thornton,Croydon,"17,558",,,,
E05000169,Woodside,Croydon,"16,830",,,,
E05000170,Acton Central,Ealing,"15,496",,,,
E05000171,Cleveland,Ealing,"14,560",,,,
E05000172,Dormers Wells,Ealing,"13,961",,,,
E05000173,Ealing Broadway,Ealing,"14,044",,,,
E05000174,Ealing Common,Ealing,"14,067",,,,
E05000175,East Acton,Ealing,"18,767",,,,
E05000176,Elthorne,Ealing,"14,558",,,,
E05000177,Greenford Broadway,Ealing,"17,656",,,,
E05000178,Greenford Green,Ealing,"14,422",,,,
E05000179,Hanger Hill,Ealing,"15,567",,,,
E05000180,Hobbayne,Ealing,"14,262",,,,
E05000181,Lady Margaret,Ealing,"13,949",,,,
E05000182,Northfield,Ealing,"13,531",,,,
E05000183,North Greenford,Ealing,"14,754",,,,
E05000184,Northolt Mandeville,Ealing,"15,206",,,,
E05000185,Northolt West End,Ealing,"15,137",,,,
E05000186,Norwood Green,Ealing,"14,063",,,,
E05000187,Perivale,Ealing,"15,378",,,,
E05000188,South Acton,Ealing,"14,900",,,,
E05000189,Southall Broadway,Ealing,"13,506",,,,
E05000190,Southall Green,Ealing,"14,668",,,,
E05000191,Southfield,Ealing,"13,498",,,,
E05000192,Walpole,Ealing,"13,364",,,,
E05000193,Bowes,Enfield,"14,202",,,,
E05000194,Bush Hill Park,Enfield,"13,947",,,,
E05000195,Chase,Enfield,"13,804",,,,
E05000196,Cockfosters,Enfield,"13,813",,,,
E05000197,Edmonton Green,Enfield,"18,128",,,,
E05000198,Enfield Highway,Enfield,"16,128",,,,
E05000199,Enfield Lock,Enfield,"16,591",,,,
E05000200,Grange,Enfield,"12,729",,,,
E05000201,Haselbury,Enfield,"16,353",,,,
E05000202,Highlands,Enfield,"13,016",,,,
E05000203,Jubilee,Enfield,"14,414",,,,
E05000204,Lower Edmonton,Enfield,"16,642",,,,
E05000205,Palmers Green,Enfield,"15,242",,,,
E05000206,Ponders End,Enfield,"15,771",,,,
E05000207,Southbury,Enfield,"14,584",,,,
E05000208,Southgate,Enfield,"14,513",,,,
E05000209,Southgate Green,Enfield,"13,811",,,,
E05000210,Town,Enfield,"14,910",,,,
E05000211,Turkey Street,Enfield,"14,444",,,,
E05000212,Upper Edmonton,Enfield,"17,466",,,,
E05000213,Winchmore Hill,Enfield,"13,427",,,,
E05000214,Abbey Wood,Greenwich,"15,757",,,,
E05000215,Blackheath Westcombe,Greenwich,"12,914",,,,
E05000216,Charlton,Greenwich,"14,415",,,,
E05000217,Coldharbour and New Eltham,Greenwich,"13,070",,,,
E05000218,Eltham North,Greenwich,"12,515",,,,
E05000219,Eltham South,Greenwich,"12,567",,,,
E05000220,Eltham West,Greenwich,"10,385",,,,
E05000221,Glyndon,Greenwich,"18,249",,,,
E05000222,Greenwich West,Greenwich,"16,667",,,,
E05000223,Kidbrooke with Hornfair,Greenwich,"14,313",,,,
E05000224,Middle Park and Sutcliffe,Greenwich,"13,515",,,,
E05000225,Peninsula,Greenwich,"14,142",,,,
E05000226,Plumstead,Greenwich,"16,816",,,,
E05000227,Shooters Hill,Greenwich,"13,455",,,,
E05000228,Thamesmead Moorings,Greenwich,"19,807",,,,
E05000229,Woolwich Common,Greenwich,"17,684",,,,
E05000230,Woolwich Riverside,Greenwich,"19,212",,,,
E05000231,Brownswood,Hackney,"11,177",,,,
E05000232,Cazenove,Hackney,"13,472",,,,
E05000233,Chatham,Hackney,"13,278",,,,
E05000234,Clissold,Hackney,"12,255",,,,
E05000235,Dalston,Hackney,"14,799",,,,
E05000236,De Beauvoir,Hackney,"13,708",,,,
E05000237,Hackney Central,Hackney,"12,618",,,,
E05000238,Hackney Downs,Hackney,"13,000",,,,
E05000239,Haggerston,Hackney,"13,993",,,,
E05000240,Hoxton,Hackney,"15,270",,,,
E05000241,King's Park,Hackney,"11,108",,,,
E05000242,Leabridge,Hackney,"14,099",,,,
E05000243,Lordship,Hackney,"12,303",,,,
E05000244,New River,Hackney,"12,574",,,,
E05000245,Queensbridge,Hackney,"13,714",,,,
E05000246,Springfield,Hackney,"12,344",,,,
E05000247,Stoke Newington Central,Hackney,"12,477",,,,
E05000248,Victoria,Hackney,"13,260",,,,
E05000249,Wick,Hackney,"11,733",,,,
E05000250,Addison,Hammersmith and Fulham,"11,509",,,,
E05000251,Askew,Hammersmith and Fulham,"14,162",,,,
E05000252,Avonmore and Brook Green,Hammersmith and Fulham,"12,252",,,,
E05000253,College Park and Old Oak,Hammersmith and Fulham,"9,126",,,,
E05000254,Fulham Broadway,Hammersmith and Fulham,"11,003",,,,
E05000255,Fulham Reach,Hammersmith and Fulham,"11,362",,,,
E05000256,Hammersmith Broadway,Hammersmith and Fulham,"11,938",,,,
E05000257,Munster,Hammersmith and Fulham,"11,005",,,,
E05000258,North End,Hammersmith and Fulham,"11,609",,,,
E05000259,Palace Riverside,Hammersmith and Fulham,"7,445",,,,
E05000260,Parsons Green and Walham,Hammersmith and Fulham,"10,796",,,,
E05000261,Ravenscourt Park,Hammersmith and Fulham,"10,753",,,,
E05000262,Sands End,Hammersmith and Fulham,"12,759",,,,
E05000263,Shepherd's Bush Green,Hammersmith and Fulham,"12,164",,,,
E05000264,Town,Hammersmith and Fulham,"11,201",,,,
E05000265,Wormholt and White City,Hammersmith and Fulham,"13,361",,,,
E05000266,Alexandra,Haringey,"11,778",,,,
E05000267,Bounds Green,Haringey,"13,780",,,,
E05000268,Bruce Grove,Haringey,"14,512",,,,
E05000269,Crouch End,Haringey,"12,428",,,,
E05000270,Fortis Green,Haringey,"12,456",,,,
E05000271,Harringay,Haringey,"13,387",,,,
E05000272,Highgate,Haringey,"11,646",,,,
E05000273,Hornsey,Haringey,"12,700",,,,
E05000274,Muswell Hill,Haringey,"10,778",,,,
E05000275,Noel Park,Haringey,"14,015",,,,
E05000276,Northumberland Park,Haringey,"14,451",,,,
E05000277,St Ann's,Haringey,"14,709",,,,
E05000278,Seven Sisters,Haringey,"16,007",,,,
E05000279,Stroud Green,Haringey,"11,794",,,,
E05000280,Tottenham Green,Haringey,"14,618",,,,
E05000281,Tottenham Hale,Haringey,"15,096",,,,
E05000282,West Green,Haringey,"13,432",,,,
E05000283,White Hart Lane,Haringey,"13,408",,,,
E05000284,Woodside,Haringey,"14,545",,,,
E05000285,Belmont,Harrow,"11,439",,,,
E05000286,Canons,Harrow,"12,507",,,,
E05000287,Edgware,Harrow,"11,756",,,,
E05000288,Greenhill,Harrow,"12,590",,,,
E05000289,Harrow on the Hill,Harrow,"12,358",,,,
E05000290,Harrow Weald,Harrow,"11,408",,,,
E05000291,Hatch End,Harrow,"10,702",,,,
E05000292,Headstone North,Harrow,"10,134",,,,
E05000293,Headstone South,Harrow,"11,233",,,,
E05000294,Kenton East,Harrow,"11,208",,,,
E05000295,Kenton West,Harrow,"11,212",,,,
E05000296,Marlborough,Harrow,"12,420",,,,
E05000297,Pinner,Harrow,"10,038",,,,
E05000298,Pinner South,Harrow,"10,459",,,,
E05000299,Queensbury,Harrow,"12,074",,,,
E05000300,Rayners Lane,Harrow,"11,157",,,,
E05000301,Roxbourne,Harrow,"12,920",,,,
E05000302,Roxeth,Harrow,"11,726",,,,
E05000303,Stanmore Park,Harrow,"11,252",,,,
E05000304,Wealdstone,Harrow,"11,483",,,,
E05000305,West Harrow,Harrow,"10,423",,,,
E05000306,Brooklands,Havering,"15,057",,,,
E05000307,Cranham,Havering,"12,531",,,,
E05000308,Elm Park,Havering,"12,490",,,,
E05000309,Emerson Park,Havering,"11,997",,,,
E05000310,Gooshays,Havering,"14,790",,,,
E05000311,Hacton,Havering,"12,267",,,,
E05000312,Harold Wood,Havering,"12,691",,,,
E05000313,Havering Park,Havering,"13,063",,,,
E05000314,Heaton,Havering,"12,610",,,,
E05000315,Hylands,Havering,"12,983",,,,
E05000316,Mawneys,Havering,"12,939",,,,
E05000317,Pettits,Havering,"12,945",,,,
E05000318,Rainham and Wennington,Havering,"12,537",,,,
E05000319,Romford Town,Havering,"16,021",,,,
E05000320,St Andrew's,Havering,"13,347",,,,
E05000321,South Hornchurch,Havering,"13,596",,,,
E05000322,Squirrel's Heath,Havering,"13,235",,,,
E05000323,Upminster,Havering,"12,828",,,,
E05000324,Barnhill,Hillingdon,"13,546",,,,
E05000325,Botwell,Hillingdon,"15,187",,,,
E05000326,Brunel,Hillingdon,"13,926",,,,
E05000327,Cavendish,Hillingdon,"11,686",,,,
E05000328,Charville,Hillingdon,"12,680",,,,
E05000329,Eastcote and East Ruislip,Hillingdon,"12,145",,,,
E05000330,Harefield,Hillingdon,"7,400",,,,
E05000331,Heathrow Villages,Hillingdon,"12,328",,,,
E05000332,Hillingdon East,Hillingdon,"12,946",,,,
E05000333,Ickenham,Hillingdon,"10,386",,,,
E05000334,Manor,Hillingdon,"11,461",,,,
E05000335,Northwood,Hillingdon,"10,465",,,,
E05000336,Northwood Hills,Hillingdon,"11,594",,,,
E05000337,Pinkwell,Hillingdon,"14,893",,,,
E05000338,South Ruislip,Hillingdon,"12,576",,,,
E05000339,Townfield,Hillingdon,"14,225",,,,
E05000340,Uxbridge North,Hillingdon,"12,088",,,,
E05000341,Uxbridge South,Hillingdon,"14,089",,,,
E05000342,West Drayton,Hillingdon,"14,467",,,,
E05000343,West Ruislip,Hillingdon,"10,618",,,,
E05000344,Yeading,Hillingdon,"13,699",,,,
E05000345,Yiewsley,Hillingdon,"13,094",,,,
E05000346,Bedfont,Hounslow,"12,755",,,,
E05000347,Brentford,Hounslow,"14,421",,,,
E05000348,Chiswick Homefields,Hounslow,"11,360",,,,
E05000349,Chiswick Riverside,Hounslow,"11,551",,,,
E05000350,Cranford,Hounslow,"12,449",,,,
E05000351,Feltham North,Hounslow,"11,568",,,,
E05000352,Feltham West,Hounslow,"15,606",,,,
E05000353,Hanworth,Hounslow,"12,163",,,,
E05000354,Hanworth Park,Hounslow,"11,436",,,,
E05000355,Heston Central,Hounslow,"12,340",,,,
E05000356,Heston East,Hounslow,"12,393",,,,
E05000357,Heston West,Hounslow,"12,474",,,,
E05000358,Hounslow Central,Hounslow,"15,279",,,,
E05000359,Hounslow Heath,Hounslow,"14,789",,,,
E05000360,Hounslow South,Hounslow,"11,426",,,,
E05000361,Hounslow West,Hounslow,"12,783",,,,
E05000362,Isleworth,Hounslow,"12,026",,,,
E05000363,Osterley and Spring Grove,Hounslow,"13,060",,,,
E05000364,Syon,Hounslow,"13,574",,,,
E05000365,Turnham Green,Hounslow,"11,474",,,,
E05000366,Barnsbury,Islington,"12,214",,,,
E05000367,Bunhill,Islington,"14,706",,,,
E05000368,Caledonian,Islington,"13,935",,,,
E05000369,Canonbury,Islington,"12,054",,,,
E05000370,Clerkenwell,Islington,"11,524",,,,
E05000371,Finsbury Park,Islington,"14,341",,,,
E05000372,Highbury East,Islington,"11,636",,,,
E05000373,Highbury West,Islington,"15,069",,,,
E05000374,Hillrise,Islington,"11,804",,,,
E05000375,Holloway,Islington,"15,015",,,,
E05000376,Junction,Islington,"11,990",,,,
E05000377,Mildmay,Islington,"12,903",,,,
E05000378,St George's,Islington,"12,359",,,,
E05000379,St Mary's,Islington,"11,576",,,,
E05000380,St Peter's,Islington,"11,837",,,,
E05000381,Tollington,Islington,"13,322",,,,
E05000382,Abingdon,Kensington and Chelsea,"10,008",,,,
E05000383,Brompton,Kensington and Chelsea,"8,840",,,,
E05000384,Campden,Kensington and Chelsea,"8,136",,,,
E05000385,Colville,Kensington and Chelsea,"8,348",,,,
E05000386,Courtfield,Kensington and Chelsea,"8,951",,,,
E05000387,Cremorne,Kensington and Chelsea,"7,957",,,,
E05000388,Earl's Court,Kensington and Chelsea,"9,111",,,,
E05000389,Golborne,Kensington and Chelsea,"8,924",,,,
E05000390,Hans Town,Kensington and Chelsea,"8,790",,,,
E05000391,Holland,Kensington and Chelsea,"9,736",,,,
E05000392,Norland,Kensington and Chelsea,"8,669",,,,
E05000393,Notting Barns,Kensington and Chelsea,"9,516",,,,
E05000394,Pembridge,Kensington and Chelsea,"7,627",,,,
E05000395,Queen's Gate,Kensington and Chelsea,"9,807",,,,
E05000396,Redcliffe,Kensington and Chelsea,"9,198",,,,
E05000397,Royal Hospital,Kensington and Chelsea,"7,212",,,,
E05000398,St Charles,Kensington and Chelsea,"9,282",,,,
E05000399,Stanley,Kensington and Chelsea,"8,139",,,,
E05000400,Alexandra,Kingston upon Thames,"9,263",,,,
E05000401,Berrylands,Kingston upon Thames,"9,475",,,,
E05000402,Beverley,Kingston upon Thames,"10,123",,,,
E05000403,Canbury,Kingston upon Thames,"12,457",,,,
E05000404,Chessington North and Hook,Kingston upon Thames,"8,742",,,,
E05000405,Chessington South,Kingston upon Thames,"10,246",,,,
E05000406,Coombe Hill,Kingston upon Thames,"10,355",,,,
E05000407,Coombe Vale,Kingston upon Thames,"9,752",,,,
E05000408,Grove,Kingston upon Thames,"11,010",,,,
E05000409,Norbiton,Kingston upon Thames,"10,144",,,,
E05000410,Old Malden,Kingston upon Thames,"9,428",,,,
E05000411,St James,Kingston upon Thames,"8,960",,,,
E05000412,St Mark's,Kingston upon Thames,"10,558",,,,
E05000413,Surbiton Hill,Kingston upon Thames,"10,486",,,,
E05000414,Tolworth and Hook Rise,Kingston upon Thames,"9,848",,,,
E05000415,Tudor,Kingston upon Thames,"9,589",,,,
E05000416,Bishop's,Lambeth,"9,748",,,,
E05000417,Brixton Hill,Lambeth,"15,914",,,,
E05000418,Clapham Common,Lambeth,"12,956",,,,
E05000419,Clapham Town,Lambeth,"13,925",,,,
E05000420,Coldharbour,Lambeth,"16,896",,,,
E05000421,Ferndale,Lambeth,"15,176",,,,
E05000422,Gipsy Hill,Lambeth,"13,743",,,,
E05000423,Herne Hill,Lambeth,"15,132",,,,
E05000424,Knight's Hill,Lambeth,"14,762",,,,
E05000425,Larkhall,Lambeth,"17,376",,,,
E05000426,Oval,Lambeth,"15,222",,,,
E05000427,Prince's,Lambeth,"14,323",,,,
E05000428,St Leonard's,Lambeth,"14,603",,,,
E05000429,Stockwell,Lambeth,"14,879",,,,
E05000430,Streatham Hill,Lambeth,"14,315",,,,
E05000431,Streatham South,Lambeth,"14,386",,,,
E05000432,Streatham Wells,Lambeth,"14,927",,,,
E05000433,Thornton,Lambeth,"12,577",,,,
E05000434,Thurlow Park,Lambeth,"13,566",,,,
E05000435,Tulse Hill,Lambeth,"15,817",,,,
E05000436,Vassall,Lambeth,"14,238",,,,
E05000437,Bellingham,Lewisham,"14,786",,,,
E05000438,Blackheath,Lewisham,"14,100",,,,
E05000439,Brockley,Lewisham,"17,312",,,,
E05000440,Catford South,Lewisham,"15,251",,,,
E05000441,Crofton Park,Lewisham,"14,995",,,,
E05000442,Downham,Lewisham,"14,583",,,,
E05000443,Evelyn,Lewisham,"16,738",,,,
E05000444,Forest Hill,Lewisham,"14,907",,,,
E05000445,Grove Park,Lewisham,"14,626",,,,
E05000446,Ladywell,Lewisham,"14,595",,,,
E05000447,Lee Green,Lewisham,"14,609",,,,
E05000448,Lewisham Central,Lewisham,"17,562",,,,
E05000449,New Cross,Lewisham,"15,870",,,,
E05000450,Perry Vale,Lewisham,"15,659",,,,
E05000451,Rushey Green,Lewisham,"14,963",,,,
E05000452,Sydenham,Lewisham,"15,631",,,,
E05000453,Telegraph Hill,Lewisham,"16,513",,,,
E05000454,Whitefoot,Lewisham,"14,238",,,,
E05000455,Abbey,Merton,"10,443",,,,
E05000456,Cannon Hill,Merton,"9,267",,,,
E05000457,Colliers Wood,Merton,"10,849",,,,
E05000458,Cricket Green,Merton,"11,516",,,,
E05000459,Dundonald,Merton,"9,370",,,,
E05000460,Figge's Marsh,Merton,"11,280",,,,
E05000461,Graveney,Merton,"9,898",,,,
E05000462,Hillside,Merton,"9,042",,,,
E05000463,Lavender Fields,Merton,"10,353",,,,
E05000464,Longthornton,Merton,"10,040",,,,
E05000465,Lower Morden,Merton,"9,085",,,,
E05000466,Merton Park,Merton,"9,498",,,,
E05000467,Pollards Hill,Merton,"10,306",,,,
E05000468,Ravensbury,Merton,"9,977",,,,
E05000469,Raynes Park,Merton,"9,743",,,,
E05000470,St Helier,Merton,"10,406",,,,
E05000471,Trinity,Merton,"9,879",,,,
E05000472,Village,Merton,"8,476",,,,
E05000473,West Barnes,Merton,"9,876",,,,
E05000474,Wimbledon Park,Merton,"11,239",,,,
E05000475,Beckton,Newham,"15,264",,,,
E05000476,Boleyn,Newham,"16,087",,,,
E05000477,Canning Town North,Newham,"14,903",,,,
E05000478,Canning Town South,Newham,"16,112",,,,
E05000479,Custom House,Newham,"13,482",,,,
E05000480,East Ham Central,Newham,"16,058",,,,
E05000481,East Ham North,Newham,"14,008",,,,
E05000482,East Ham South,Newham,"15,630",,,,
E05000483,Forest Gate North,Newham,"16,377",,,,
E05000484,Forest Gate South,Newham,"17,542",,,,
E05000485,Green Street East,Newham,"16,078",,,,
E05000486,Green Street West,Newham,"15,305",,,,
E05000487,Little Ilford,Newham,"16,724",,,,
E05000488,Manor Park,Newham,"15,447",,,,
E05000489,Plaistow North,Newham,"15,578",,,,
E05000490,Plaistow South,Newham,"16,500",,,,
E05000491,Royal Docks,Newham,"10,778",,,,
E05000492,Stratford and New Town,Newham,"17,999",,,,
E05000493,Wall End,Newham,"14,930",,,,
E05000494,West Ham,Newham,"15,658",,,,
E05000495,Aldborough,Redbridge,"14,672",,,,
E05000496,Barkingside,Redbridge,"12,675",,,,
E05000497,Bridge,Redbridge,"11,703",,,,
E05000498,Chadwell,Redbridge,"14,397",,,,
E05000499,Church End,Redbridge,"11,616",,,,
E05000500,Clayhall,Redbridge,"13,306",,,,
E05000501,Clementswood,Redbridge,"14,891",,,,
E05000502,Cranbrook,Redbridge,"12,863",,,,
E05000503,Fairlop,Redbridge,"12,707",,,,
E05000504,Fullwell,Redbridge,"12,972",,,,
E05000505,Goodmayes,Redbridge,"13,257",,,,
E05000506,Hainault,Redbridge,"12,974",,,,
E05000507,Loxford,Redbridge,"16,803",,,,
E05000508,Mayfield,Redbridge,"13,834",,,,
E05000509,Monkhams,Redbridge,"10,405",,,,
E05000510,Newbury,Redbridge,"16,989",,,,
E05000511,Roding,Redbridge,"12,149",,,,
E05000512,Seven Kings,Redbridge,"15,381",,,,
E05000513,Snaresbrook,Redbridge,"11,933",,,,
E05000514,Valentines,Redbridge,"14,312",,,,
E05000515,Wanstead,Redbridge,"11,556",,,,
E05000516,Barnes,Richmond upon Thames,"10,313",,,,
E05000517,East Sheen,Richmond upon Thames,"10,393",,,,
E05000518,Fulwell and Hampton Hill,Richmond upon Thames,"10,152",,,,
E05000519,"Ham, Petersham and Richmond Riverside",Richmond upon Thames,"10,334",,,,
E05000520,Hampton,Richmond upon Thames,"9,985",,,,
E05000521,Hampton North,Richmond upon Thames,"9,397",,,,
E05000522,Hampton Wick,Richmond upon Thames,"10,217",,,,
E05000523,Heathfield,Richmond upon Thames,"10,348",,,,
E05000524,Kew,Richmond upon Thames,"11,468",,,,
E05000525,Mortlake and Barnes Common,Richmond upon Thames,"10,964",,,,
E05000526,North Richmond,Richmond upon Thames,"10,700",,,,
E05000527,St Margarets and North Twickenham,Richmond upon Thames,"11,219",,,,
E05000528,South Richmond,Richmond upon Thames,"10,863",,,,
E05000529,South Twickenham,Richmond upon Thames,"10,027",,,,
E05000530,Teddington,Richmond upon Thames,"10,345",,,,
E05000531,Twickenham Riverside,Richmond upon Thames,"10,450",,,,
E05000532,West Twickenham,Richmond upon Thames,"10,573",,,,
E05000533,Whitton,Richmond upon Thames,"9,779",,,,
E05000534,Brunswick Park,Southwark,"13,200",,,,
E05000535,Camberwell Green,Southwark,"15,058",,,,
E05000536,Cathedrals,Southwark,"15,025",,,,
E05000537,Chaucer,Southwark,"15,275",,,,
E05000538,College,Southwark,"11,810",,,,
E05000539,East Dulwich,Southwark,"12,330",,,,
